,GOLD Analysis Project ID
791,Ga0209291
792,Ga0169834
793,Ga0377208
794,Ga0451596
795,Ga0210020
796,Ga0494752
797,Ga0193945
798,Ga0310741
799,Ga0190313
800,Ga0120982
801,Ga0335314
802,Ga0001953
803,Ga0105355
804,Ga0121473
805,Ga0169231
806,Ga0007863
807,Ga0428359
808,Ga0000764
809,Ga0454610
810,Ga0373568
811,Ga0209945
812,Ga0484904
813,Ga0453915
814,Ga0208045
815,Ga0193595
816,Ga0212089
817,Ga0114172
818,Ga0120367
819,Ga0310039
820,Ga0208584
821,Ga0217539
822,Ga0242450
823,Ga0485389
824,Ga0500039
825,Ga0194058
826,Ga0024811
827,Ga0255195
828,Ga0435367
829,Ga0334850
830,Ga0121357
831,Ga0483940
832,Ga0335006
833,Ga0484934
834,Ga0075316
835,Ga0073583
836,Ga0041905
837,Ga0207876
838,Ga0208333
839,Ga0495599
840,Ga0079224
841,Ga0066690
842,Ga0006237
843,Ga0377226
844,Ga0245205
845,Ga0071344
846,Ga0075123
847,Ga0209151
848,Ga0428444
849,Ga0310723
850,Ga0115198
851,Ga0209762
852,Ga0003497
853,Ga0436674
854,Ga0058699
855,Ga0255348
856,Ga0122026
857,Ga0188383
858,Ga0268309
859,Ga0182216
860,Ga0118446
861,Ga0483994
862,Ga0494418
863,Ga0243320
864,Ga0482257
865,Ga0208907
866,Ga0484964
867,Ga0485187
868,Ga0122827
869,Ga0335020
870,Ga0121681
871,Ga0491459
872,Ga0182041
873,Ga0453078
874,Ga0182170
875,Ga0169759
876,Ga0052833
877,Ga0136211
878,Ga0247722
879,Ga0190274
880,Ga0120709
881,Ga0120979
882,Ga0123350
883,Ga0502756
884,Ga0207564
885,Ga0311333
886,Ga0209193
887,Ga0121317
888,Ga0494431
889,Ga0157305
890,Ga0246098
891,Ga0182197
892,Ga0208502
893,Ga0318540
894,Ga0104948
895,Ga0114966
896,Ga0494498
897,Ga0268242
898,Ga0055436
899,Ga0255345
900,Ga0078898
901,Ga0456036
902,Ga0068469
903,Ga0122071
904,Ga0118347
905,Ga0228664
906,Ga0455909
907,Ga0494426
908,Ga0208133
909,Ga0439240
910,Ga0114891
911,Ga0243741
912,Ga0496073
913,Ga0451653
914,Ga0302161
915,Ga0264393
916,Ga0099849
917,Ga0207647
918,Ga0265798
919,Ga0113876
920,Ga0194115
921,Ga0100377
922,Ga0428052
923,Ga0167649
924,Ga0066607
925,Ga0506497
926,Ga0123356
927,Ga0008670
928,Ga0121219
929,Ga0326723
930,Ga0114846
931,Ga0006119
932,Ga0214179
933,Ga0238469
934,Ga0485319
935,Ga0026825
936,Ga0455972
937,Ga0400272
938,Ga0245134
939,Ga0211605
940,Ga0485235
941,Ga0307474
942,Ga0005524
943,Ga0209262
944,Ga0453907
945,Ga0121211
946,Ga0484859
947,Ga0116834
948,Ga0209253
949,Ga0439466
950,Ga0495620
951,Ga0169677
952,Ga0210124
953,Ga0207996
954,Ga0450736
955,Ga0217512
956,Ga0453911
957,Ga0026470
958,Ga0401698
959,Ga0238615
960,Ga0395845
961,Ga0137341
962,Ga0268315
963,Ga0209933
964,Ga0105064
965,Ga0456322
966,Ga0310896
967,Ga0451494
968,Ga0247854
969,Ga0196903
970,Ga0207832
971,Ga0265309
972,Ga0456121
973,Ga0307414
974,Ga0214236
975,Ga0373605
976,Ga0485328
977,Ga0121225
978,Ga0208332
979,Ga0026128
980,Ga0180436
981,Ga0194129
982,Ga0026063
983,Ga0188311
984,Ga0007873
985,Ga0207419
986,Ga0120179
987,Ga0169886
988,Ga0334992
989,Ga0455790
990,Ga0392389
991,Ga0208094
992,Ga0453676
993,Ga0228656
994,Ga0111058
995,Ga0211575
996,Ga0485239
997,Ga0208543
998,Ga0456063
999,Ga0105552
1000,Ga0066188
1001,Ga0115302
1002,Ga0268304
1003,Ga0105890
1004,Ga0208745
1005,Ga0247197
1006,Ga0001979
1007,Ga0209477
1008,Ga0500113
1009,Ga0153974
1010,Ga0494109
1011,Ga0005344
1012,Ga0100215
1013,Ga0208667
1014,Ga0079223
1015,Ga0168608
1016,Ga0243889
1017,Ga0498756
1018,Ga0308417
1019,Ga0217502
1020,Ga0211499
1021,Ga0456293
1022,Ga0121136
1023,Ga0007259
1024,Ga0066845
1025,Ga0466935
1026,Ga0450889
1027,Ga0257116
1028,Ga0121711
1029,Ga0118368
1030,Ga0314870
1031,Ga0001946
1032,Ga0316612
1033,Ga0217542
1034,Ga0167506
1035,Ga0370463
1036,Ga0105663
1037,Ga0495335
1038,Ga0122174
1039,Ga0167643
1040,Ga0491205
1041,Ga0122868
1042,Ga0439440
1043,Ga0179590
1044,Ga0371482
1045,Ga0075124
1046,Ga0104760
1047,Ga0011265
1048,Ga0394844
1049,Ga0207904
1050,Ga0497567
1051,Ga0428074
1052,Ga0450788
1053,Ga0025790
1054,Ga0209287
1055,Ga0137349
1056,Ga0400209
1057,Ga0302195
1058,Ga0010847
